Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,4.806871041,62.53333333,3069.866667,123.1229947,1.823529412,51,0.382222222,0.610943552,0.501604278,275
2,5.034450146,79.26666667,5158.166667,188.4835566,2.085261876,45.83333333,0.458057395,0.453133799,0.579293544,335
3,5.385181522,47.06666667,1636.4,39.33653846,0.836538462,55.33333333,0.646766169,0.432217213,0.226282051,256
4,7.266581151,115.8666667,16215.86667,313.8554839,1.992258065,74,0.266666667,0.409461462,0.448516129,331
5,5.412614413,91.13333333,7984.3,224.9098592,1.988732394,58.33333333,0.248780488,0.446672105,0.51342723,386
6,7.08751352,165.6,25211.46667,1219.909677,7.922580645,124.6666667,138,1.324730746,1.602580645,642
7,5.576056173,139.8,14518.56667,477.0613363,3.973713034,85.83333333,0.629815745,0.73549454,0.918729463,576
8,5.774554543,153.9333333,18089.5,738.3469388,5.951020408,125.3333333,1.208137715,1.087104629,1.256598639,627
9,6.988773518,187.0666667,27871.6,910.8366013,5.960784314,134.5,1.070422535,0.917041187,1.222657952,611
10,6.108461394,110.5333333,11907.2,274.359447,1.99078341,82,0.304116866,0.444827124,0.5093702,354
11,5.213133529,92.53333333,6874.666667,220.8137045,2.239828694,53.83333333,0.369545032,0.476685934,0.594432548,386
12,5.680710176,138.0666667,15515.1,483.3364486,3.975077882,82.66666667,0.586129754,0.722774256,0.860228453,567
13,5.887949469,150,17631.86667,519.6031434,3.976424361,89,0.510638298,0.702601384,0.884086444,562
14,5.562937054,99.33333333,9179.6,242.8465608,1.989417989,60.16666667,0.26745098,0.449296912,0.525573192,384
15,5.391335042,97.6,8183.866667,236.0730769,1.988461538,57,0.296296296,0.470769074,0.563076923,392
16,5.18394636,101.7333333,7679.066667,251.4978166,2.637554585,53.5,0.400362319,0.496201557,0.666375546,414
17,4.700364621,64,3472,159.266055,2.256880734,48.83333333,0.455743879,0.717913927,0.587155963,295
18,4.699226039,97.2,6750.266667,458.1628959,5.285067873,69.5,3.863945578,1.30582191,1.319457014,566
19,5.034137519,74.6,4886.966667,179.8883436,2.115337423,39.66666667,0.541928721,0.450699416,0.549202454,331
20,5.429029807,50.06666667,1627.366667,37.87509697,0.907680372,73.5,0.546165884,0.373228446,0.233048875,210
21,5.555444966,98.13333333,9072.266667,240.8566372,1.989380531,56.5,0.241037376,0.445421184,0.521061947,384
22,4.768075375,91.2,5700.266667,348.9959184,4.114285714,68.5,2.28968254,1.194916694,1.116734694,565
23,4.850329962,98.66666667,6637.6,360.7391304,4.065217391,71.16666667,1.780487805,1.087513444,1.072463768,567
24,6.198657282,153.4666667,19346.26667,539.394052,3.977695167,93.83333333,0.437830688,0.701515283,0.855762082,543
25,5.523940316,141.1333333,16047.1,688.7167382,5.948497854,124.6666667,1.088888889,1.138891878,1.211444921,628
26,4.425816256,45.86666667,1538.4,192.3,4.15,62.16666667,5.716049383,2.25284157,1.146666667,557
27,4.602175407,62.66666667,2631.466667,181.0642202,3.220183486,42.83333333,1.623655914,0.708180969,0.862385321,302
28,5.861502216,147.3333333,17449.86667,515.2519685,3.976377953,84.66666667,0.519298246,0.700095872,0.87007874,560
29,5.623929794,103,9484.566667,250.6933921,1.989427313,67.16666667,0.296925566,0.473688541,0.544493392,384
30,4.57487157,75.2,4281.6,382.2857143,5.107142857,66,5.316455696,1.666177649,1.342857143,561
31,4.642403144,77.8,4743.9,367.744186,4.186046512,66.16666667,3.380165289,1.455092425,1.20620155,564
32,4.991579285,46.33333333,1560.166667,50.27389903,1.011815252,40,0.345238095,0.335040889,0.298603652,187
33,4.646440498,46,1497.2,68.05454545,1.527272727,44.83333333,0.461295419,0.49874268,0.418181818,177
34,6.266805239,102.2666667,12376.26667,273.4079529,1.991163476,58.33333333,0.255451713,0.405964861,0.451840943,343
35,7.323385221,6.333333333,31.76666667,0.503966155,0.071919619,37.83333333,0.570826751,0.142504186,0.020095188,16
36,5.222098551,40.2,1742.966667,46.31443756,0.89105403,55.5,0.65337132,0.468026846,0.21364039,266
37,7.720062449,4.133333333,13.46666667,0.20997921,0.045738046,37.33333333,0.562824507,0.141410353,0.012889813,10
38,5.185836163,82.06666667,6262.7,200.086262,1.987220447,48.66666667,0.324953445,0.438475043,0.524387646,374
39,5.457934115,47.66666667,1610.166667,36.90221543,0.774637128,66,0.524344569,0.335317432,0.218487395,195
40,6.752853127,19.6,263.6,4.51369863,0.246575342,68.83333333,0.675909879,0.324131066,0.067123288,230
41,4.559986893,62.8,2610.266667,190.995122,3.6,37.16666667,1.892156863,0.688293374,0.91902439,299
42,5.287995478,94.66666667,7477.866667,224.7855711,2.112224449,57.16666667,0.310405644,0.457959681,0.569138277,389
43,5.632863028,14.8,147.2,3.092436975,0.235294118,21.66666667,0.374736842,0.111930965,0.062184874,55
44,5.071040966,43.93333333,2036.7,60.43620178,1.074183976,55.33333333,0.464285714,0.493649013,0.260731949,259
45,5.37561443,45.73333333,2858,68.70192308,1.048076923,41.83333333,0.305797101,0.306510023,0.219871795,115
46,4.988157835,65.2,2963.466667,95.1862955,1.503211991,46.33333333,0.404371585,0.400828848,0.418843683,210
47,4.327875383,62.8,3532.666667,286.4324324,4.043243243,32.83333333,1.367088608,0.772542878,1.018378378,262
48,5.120885481,90.2,6348.166667,218.6509759,2.512055109,50.33333333,0.443170965,0.481558805,0.621354765,369
49,4.321927834,60.8,3367.2,271.5483871,4.032258065,39.33333333,2.082191781,0.816638174,0.980645161,253
50,5.801904229,34.33333333,837.3666667,16.96218771,0.482106685,77.83333333,0.60463531,0.378528407,0.139095206,230
51,4.58011239,74.46666667,4274.166667,232.7132486,2.969147005,46.66666667,0.579617834,0.780947767,0.810889292,293
52,5.669248627,7.933333333,42.7,0.884057971,0.136645963,27.83333333,0.472164948,0.134653408,0.032850242,57
53,6.893585736,15.73333333,215.4666667,3.587125416,0.190899001,51.66666667,0.619517544,0.203749524,0.052386238,93
54,5.31152792,34.86666667,1027.5,25.12224939,0.562347188,39.66666667,0.535980149,0.264480933,0.170497148,161
55,4.997794025,35.46666667,1156.266667,36.05821206,0.831600832,37,0.363134658,0.325674199,0.221205821,184
56,5.090160957,30.4,808.8,23.24137931,0.655172414,43,0.396969697,0.291823514,0.174712644,162
57,5.549709603,130.3333333,14250.16667,462.1675676,3.974054054,79.33333333,0.632730015,0.726666644,0.845405405,571
58,5.978257486,97.6,11122.4,259.8691589,1.990654206,46.33333333,0.209852847,0.396560483,0.456074766,352
59,5.394021069,44.86666667,1640.166667,38.71361133,0.733280881,48.83333333,0.375094913,0.294799795,0.211801731,164
60,5.534657216,97.73333333,9005.6,240.7914439,2.085561497,58.5,0.237777778,0.445280609,0.522638146,377
61,5.633502132,38.46666667,995.3666667,21.19304471,0.583392477,78,0.559298246,0.379573879,0.163804116,225
62,4.443114976,69.06666667,3925.066667,255.9826087,3.460869565,53.33333333,1.236363636,0.85431187,0.900869565,274
63,4.512213284,64.46666667,3467.9,200.4566474,2.693641618,49.83333333,0.655092593,0.727510225,0.745279383,248
64,4.469139404,50.86666667,1685.366667,148.2727273,3.360703812,31.5,2.425076453,0.72623732,0.895014663,300
65,5.6185715,99.66666667,9488.166667,246.019879,2.039757995,62,0.237373737,0.449112308,0.516853933,379
66,4.837499288,42.73333333,1665.1,61.44280443,1.158671587,23.5,0.294723295,0.322800319,0.315375154,198
67,4.522545736,64.06666667,3206.166667,182.5142315,2.516129032,42.33333333,0.710144928,0.633685185,0.729411765,220
68,4.65541717,80.93333333,4622,212.0183486,2.678899083,66.83333333,0.589347079,0.830387859,0.742507645,326
69,6.381031255,29.26666667,579.7666667,10.35914235,0.446694461,77.66666667,0.578448786,0.288261903,0.104586063,88
71,4.885440124,80.66666667,4453.466667,153.2155963,2.188073394,64.16666667,0.35451505,0.611143856,0.555045872,290
72,4.251070909,73.93333333,4479.766667,328.5892421,3.775061125,69.5,1.346883469,1.243970279,1.084596577,356
73,5.103844046,81.53333333,4627.766667,140.3771486,1.923154702,84.83333333,0.418888889,0.631550125,0.494641052,316
74,4.158288575,66.26666667,3880,340.3508772,4.385964912,57.83333333,2.562770563,1.326096731,1.162573099,338
75,4.854552706,75.13333333,3745.1,136.1854545,2.007272727,67,0.353925354,0.605919984,0.546424242,259
76,6.355808647,10.26666667,73.2,1.316546763,0.143884892,32.33333333,0.548736462,0.139093897,0.036930456,46
77,6.444828925,107.3333333,13210.26667,283.0771429,1.991428571,70.66666667,0.306740878,0.405319224,0.46,339
78,4.512706762,67.86666667,3563.066667,205.5615385,2.992307692,52.16666667,0.717948718,0.682410559,0.783076923,248
79,6.890124562,15.26666667,154.7,2.591289782,0.211055276,82.33333333,0.774789916,0.323157212,0.051144612,202
80,7.338492664,114.3333333,16239.76667,312.5035279,1.992302758,72.66666667,0.290802764,0.397177347,0.440025657,330
81,5.085310861,61.66666667,2643.1,77.96755162,1.297935103,54,0.388888889,0.408099654,0.363815143,227
82,5.184981828,44.4,1441.2,39.16304348,0.902173913,37,0.54494382,0.308631006,0.241304348,176
83,7.114445249,13.33333333,127.4666667,2.064794816,0.194384449,61.16666667,0.484408602,0.246137993,0.043196544,27
84,4.899111949,59.73333333,2765.066667,99.22488038,1.593301435,49.66666667,0.365079365,0.525101906,0.428708134,261
85,4.365419075,56.73333333,3096.966667,209.7268623,2.957110609,51.83333333,1.241666667,0.809830228,0.768397291,245
86,5.480908569,110.8666667,9592.166667,269.1908326,2.518241347,62.66666667,0.304080062,0.481125216,0.622263798,388
87,6.86975357,166.2,23732.96667,595.8066946,3.979916318,100.8333333,0.383015598,0.693200766,0.834476987,476
88,4.947154515,79.26666667,4718.166667,196.8636996,2.21418637,42.5,0.636363636,0.52968357,0.66147427,359
89,5.087092466,88.33333333,5981.366667,210.8589894,2.1386604,50.83333333,0.459429825,0.485419506,0.62279671,381
90,5.837534225,101.1333333,10479.5,254.9756691,1.99026764,67,0.289267946,0.433059648,0.492133009,373
91,4.905481719,83.86666667,4828.666667,214.925816,2.56379822,47.66666667,0.714285714,0.575384616,0.746587537,348
92,5.81154976,109.6,10858.66667,265.7096248,2.032626427,58.66666667,0.262669522,0.416619805,0.536378467,367
93,5.692284597,97.66666667,9670.966667,245.2485207,1.989856298,56.5,0.241429613,0.419859739,0.495350803,357
94,5.294236158,81.26666667,6940.566667,207.5942173,1.99002991,50.33333333,0.285947712,0.421662901,0.486141575,365
95,4.954757802,81.33333333,4925.866667,199.1590296,2.587601078,50,0.603174603,0.496930078,0.657681941,335
96,6.648504868,110.6666667,14141.86667,292.5903448,1.991724138,63.16666667,0.275821596,0.4006303,0.457931034,337
97,4.482134122,69.06666667,3715.066667,389.6923077,5.776223776,67.66666667,8.405228758,1.903421485,1.448951049,560
98,4.462835792,57.86666667,2400.4,226.4528302,4.150943396,35.16666667,3.206896552,0.842561929,1.091823899,307
99,6.145414227,96.46666667,11693.9,265.1678005,1.990929705,60.5,0.263191763,0.408110772,0.437490552,346
100,4.766912098,70.8,3361.066667,177.5211268,2.830985915,40.16666667,1.042692939,0.554868021,0.747887324,306
101,4.876267236,44.86666667,1502.966667,51.41277081,1.236031927,33.33333333,0.203933747,0.317620759,0.30695553,140
102,6.732467197,12.86666667,107.3666667,1.820802713,0.166195591,44.66666667,0.474816072,0.197758195,0.043640475,39
103,5.665484924,136.9333333,15386.4,480.825,3.975,82,0.587583149,0.718731884,0.855833333,566
104,6.327702799,103,12868.56667,278.3395818,1.991348234,52.83333333,0.258845438,0.380000517,0.44556597,332
105,5.471403949,98.86666667,8583.5,237.7700831,2.060941828,53.16666667,0.293785311,0.426453871,0.547737765,368
106,4.670115545,61.2,2583.866667,153.1936759,2.577075099,38,1.516007533,0.600101019,0.7256917,289
107,6.214856047,97.4,12137.76667,269.5284974,1.991117691,49.16666667,0.231481481,0.379060207,0.432568468,336
108,4.860370747,100.1333333,6743.066667,361.2357143,4.05,72.33333333,1.843234323,1.090204531,1.072857143,564
109,5.314896255,98.26666667,7781.066667,233.432,2.176,52.83333333,0.363954506,0.450871379,0.5896,355
110,5.604002598,133.0666667,14760,470.0636943,3.974522293,80.33333333,0.583333333,0.717116243,0.847558386,568
111,4.566902254,44.86666667,1622.3,106.0326797,2.274509804,31.16666667,1.595505618,0.601942294,0.586492375,276
112,4.678844081,60.93333333,2711.866667,151.2193309,2.3866171,26.83333333,1.236886633,0.527583166,0.679553903,283
113,4.035422268,21.6,419.0666667,103.0491803,3.901639344,17.5,11.97849462,1.370716312,1.062295082,293
114,4.417421191,36.26666667,913.6,87.84615385,2.653846154,26.5,2.72173913,0.712959138,0.697435897,288
115,6.676669465,164.7333333,23301.9,589.921519,3.979746835,99.33333333,0.384389671,0.685429499,0.834092827,495
116,6.659940715,164.8,23077.06667,587.7011885,3.979626486,98.83333333,0.394265233,0.685429597,0.839388795,497
117,5.928280176,141.5333333,17464.56667,510.1626095,3.976630964,87.66666667,0.515394913,0.711682646,0.826874391,558
118,5.704406401,133.7333333,15554.26667,481.0597938,3.975257732,83,0.552706553,0.717587982,0.827216495,564
119,5.100283262,94,6563.2,231.0985915,2.633802817,46.16666667,0.520710059,0.48214871,0.661971831,317
120,4.93487208,99.86666667,7106.266667,346.0844156,3.961038961,71.66666667,1.511111111,1.003336061,0.972727273,570
121,4.487208002,61.86666667,2673.066667,274.630137,4.95890411,64.5,6.064814815,1.884013022,1.271232877,557
122,4.670876871,65,3130.7,222.035461,3.943262411,65,2.254054054,1.349407658,0.921985816,560
123,4.594938532,38.6,1394.566667,94.01573034,2.058426966,28.83333333,1.551789077,0.584343124,0.520449438,285
124,5.252132807,115.8,10846.96667,404.2347826,3.970186335,76.66666667,0.79964539,0.786299097,0.86310559,573
125,4.379374131,35.53333333,941.5,177.6415094,5.773584906,117.6666667,14,4.766233432,1.340880503,603
126,3.743828009,5.066666667,31.46666667,42.90909091,6.181818182,57.5,250.3333333,22.27333023,1.381818182,499
127,4.54567056,57.93333333,2306.166667,205.2967359,4.362017804,66,3.411458333,1.65306137,1.031454006,557
128,6.823800526,110.2,14919.76667,299.393311,1.991973244,57.5,0.27154195,0.376657532,0.442274247,328
129,5.22703382,128.6666667,12404.66667,643.8408304,5.937716263,122.3333333,2.256830601,1.355933469,1.335640138,627
130,5.933727337,139.6,17565.6,510.627907,3.976744186,86.5,0.500986193,0.70808143,0.811627907,554
133,4.746854305,75.4,4099.366667,255.6777547,3.95010395,66.66666667,1.983739837,1.219522134,0.940540541,562
134,4.327261891,50.33333333,2040.966667,290.1848341,5.611374408,64.16666667,11.51666667,2.518978524,1.431279621,556
135,4.784393541,96.4,6499.2,396.2926829,4.609756098,70.16666667,2.296969697,1.20481832,1.175609756,566
136,4.154373158,17.26666667,249.7666667,105.5352113,5.971830986,114.8333333,44.63333333,10.4516248,1.45915493,598
137,4.795442793,109.6666667,8548.966667,513.9659319,5.378757515,72.83333333,3.286604361,1.191421109,1.318637275,570
138,5.364041438,128.8,12141.86667,440.9878935,3.97094431,80.83333333,0.80651341,0.786758224,0.93559322,573
139,4.487335084,61.2,3165.066667,409.2758621,7.224137931,116.5,29.28205128,3.243101271,1.582758621,606
140,6.764404877,112.4666667,14777.36667,298.9352664,1.991908294,53.66666667,0.280432309,0.372875104,0.455023601,325
141,4.485697015,71.6,4463.066667,283.6694915,3.347457627,53.66666667,0.680327869,1.003557662,0.910169492,307
142,5.012032195,76.26666667,4875.466667,185.6142132,2.111675127,42,0.504444444,0.476535938,0.58071066,353
143,4.442789983,75.4,4781.9,325.2993197,4.408163265,61.66666667,1.467479675,0.993217987,1.02585034,302
144,4.908541826,49.2,1827.466667,63.74883721,1.269767442,41.66666667,0.381660471,0.395027229,0.343255814,206
145,4.839728623,78.66666667,4296,204.5714286,2.838095238,44.33333333,0.847161572,0.552508652,0.749206349,322
146,4.464896572,73.46666667,3916.666667,246.8487395,3.453781513,58.66666667,0.838383838,0.775730849,0.92605042,252
147,4.945341433,64.73333333,3112.566667,107.950289,1.810404624,67.16666667,0.415716096,0.579758124,0.449017341,280
148,5.091122905,94.73333333,6542.7,231.1908127,2.628975265,52,0.444114738,0.49036748,0.669493522,381
149,4.250011286,70.66666667,4391.066667,409.1055901,5.279503106,47.83333333,2.406779661,1.150532054,1.316770186,314
150,4.562931717,66.73333333,3316.566667,170.6638079,2.545454545,45.16666667,0.479289941,0.609247852,0.686792453,234
151,4.304242407,50.73333333,2024.3,269.9066667,5.6,33.83333333,7.763157895,1.063597436,1.352888889,306
152,4.089756163,20.33333333,394.9666667,133.1348315,5.280898876,58.83333333,26.12280702,5.729334568,1.370786517,546
153,6.695851514,116.6666667,14321.2,297.120332,1.991701245,74.83333333,0.298890835,0.411663546,0.484094053,338
155,4.473721141,61.26666667,2745.5,247.3423423,4.648648649,38.33333333,3.647058824,0.888868598,1.103903904,308
156,4.187028157,30.26666667,780.2666667,154,4.526315789,25.33333333,9.919191919,1.295768737,1.194736842,296
157,4.704042541,58.13333333,2296.266667,93.09189189,1.994594595,52.83333333,0.315384615,0.520824556,0.471351351,155
158,4.281482857,53.26666667,3396.566667,550.7945946,7.664864865,62.83333333,28.45833333,2.850043251,1.727567568,558
160,6.554801402,164.2,21522.96667,571.9123118,3.97874225,99.5,0.438295165,0.701356441,0.872630647,511
161,5.080663337,83.2,5668.666667,200.0705882,2.108235294,43.5,0.43743428,0.467052897,0.587294118,372
162,5.059476733,52.13333333,1913.6,57.29341317,1.149700599,45.33333333,0.44200627,0.352056429,0.312175649,206
163,5.106267428,64.26666667,3094.4,89.95348837,1.26744186,63.5,0.375,0.522994659,0.373643411,278
164,4.716285205,93.4,5982.966667,274.8683002,3.298621746,83,0.620034542,0.929034773,0.858192956,345
165,6.410739337,115.8666667,13498.26667,291.7492795,2.020172911,76.16666667,0.258333333,0.430192502,0.500864553,344
166,7.171003839,15,183.5,2.964458805,0.187399031,80,0.590111643,0.301020747,0.048465267,217
167,4.922876525,63.06666667,3803.066667,156.7197802,1.983516484,33.66666667,0.610275689,0.447658913,0.51978022,318
